emoji,description,version,keywords,category,group,subgroup,parent,components
🧀,"cheese wedge",1.0,cheese|wedge,food-drink,food-drink,food-prepared,,
🍖,"meat on bone",0.6,bone|meat,food-drink,food-drink,food-prepared,,
🍗,"poultry leg",0.6,bone|chicken|drumstick|hungry|leg|poultry|turkey,food-drink,food-drink,food-prepared,,
🥩,"cut of meat",5.0,chop|cut|lambchop|meat|porkchop|red|steak,food-drink,food-drink,food-prepared,,
🥓,"bacon",3.0,bacon|breakfast|food|meat,food-drink,food-drink,food-prepared,,
🍔,"hamburger",0.6,burger|eat|fast|food|hamburger|hungry,food-drink,food-drink,food-prepared,,
🍟,"french fries",0.6,fast|food|french|fries,food-drink,food-drink,food-prepared,,
🍕,"pizza",0.6,cheese|food|hungry|pepperoni|pizza|slice,food-drink,food-drink,food-prepared,,
🌭,"hot dog",1.0,dog|frankfurter|hot|hotdog|sausage,food-drink,food-drink,food-prepared,,
🥪,"sandwich",5.0,bread|sandwich,food-drink,food-drink,food-prepared,,
🌮,"taco",1.0,mexican|taco,food-drink,food-drink,food-prepared,,
🌯,"burrito",1.0,burrito|mexican|wrap,food-drink,food-drink,food-prepared,,
🫔,"tamale",13.0,food|mexican|pamonha|tamale|wrapped,food-drink,food-drink,food-prepared,,
🥙,"stuffed flatbread",3.0,falafel|flatbread|food|gyro|kebab|stuffed,food-drink,food-drink,food-prepared,,
🧆,"falafel",12.0,chickpea|falafel|meatball,food-drink,food-drink,food-prepared,,
🥚,"egg",3.0,breakfast|egg|food,food-drink,food-drink,food-prepared,,
🍳,"cooking",0.6,breakfast|cooking|easy|egg|fry|frying|over|pan|restaurant|side|sunny|up,food-drink,food-drink,food-prepared,,
🥘,"shallow pan of food",3.0,casserole|food|paella|pan|shallow,food-drink,food-drink,food-prepared,,
🍲,"pot of food",0.6,food|pot|soup|stew,food-drink,food-drink,food-prepared,,
🫕,"fondue",13.0,cheese|chocolate|fondue|food|melted|pot|ski,food-drink,food-drink,food-prepared,,
🥣,"bowl with spoon",5.0,bowl|breakfast|cereal|congee|oatmeal|porridge|spoon,food-drink,food-drink,food-prepared,,
🥗,"green salad",3.0,food|green|salad,food-drink,food-drink,food-prepared,,
🍿,"popcorn",1.0,corn|movie|pop|popcorn,food-drink,food-drink,food-prepared,,
🧈,"butter",12.0,butter|dairy,food-drink,food-drink,food-prepared,,
🧂,"salt",11.0,condiment|flavor|mad|salt|salty|shaker|taste|upset,food-drink,food-drink,food-prepared,,
🥫,"canned food",5.0,can|canned|food,food-drink,food-drink,food-prepared,,
🍱,"bento box",0.6,bento|box|food,food-drink,food-drink,food-asian,,
🍘,"rice cracker",0.6,cracker|food|rice,food-drink,food-drink,food-asian,,
🍙,"rice ball",0.6,ball|food|Japanese|rice,food-drink,food-drink,food-asian,,
🍚,"cooked rice",0.6,cooked|food|rice,food-drink,food-drink,food-asian,,
🍛,"curry rice",0.6,curry|food|rice,food-drink,food-drink,food-asian,,
🍜,"steaming bowl",0.6,bowl|chopsticks|food|noodle|pho|ramen|soup|steaming,food-drink,food-drink,food-asian,,
🍝,"spaghetti",0.6,food|meatballs|pasta|restaurant|spaghetti,food-drink,food-drink,food-asian,,
🍠,"roasted sweet potato",0.6,food|potato|roasted|sweet,food-drink,food-drink,food-asian,,
🍢,"oden",0.6,food|kebab|oden|restaurant|seafood|skewer|stick,food-drink,food-drink,food-asian,,
🍣,"sushi",0.6,food|sushi,food-drink,food-drink,food-asian,,
🍤,"fried shrimp",0.6,fried|prawn|shrimp|tempura,food-drink,food-drink,food-asian,,
🍥,"fish cake with swirl",0.6,cake|fish|food|pastry|restaurant|swirl,food-drink,food-drink,food-asian,,
🥮,"moon cake",11.0,autumn|cake|festival|moon|yuèbǐng,food-drink,food-drink,food-asian,,
🍡,"dango",0.6,dango|dessert|Japanese|skewer|stick|sweet,food-drink,food-drink,food-asian,,
🥟,"dumpling",5.0,dumpling|empanada|gyōza|jiaozi|pierogi|potsticker,food-drink,food-drink,food-asian,,
🥠,"fortune cookie",5.0,cookie|fortune|prophecy,food-drink,food-drink,food-asian,,
🥡,"takeout box",5.0,box|chopsticks|delivery|food|oyster|pail|takeout,food-drink,food-drink,food-asian,,
🍦,"soft ice cream",0.6,cream|dessert|food|ice|icecream|restaurant|serve|soft|sweet,food-drink,food-drink,food-sweet,,
🍧,"shaved ice",0.6,dessert|ice|restaurant|shaved|sweet,food-drink,food-drink,food-sweet,,
🍨,"ice cream",0.6,cream|dessert|food|ice|restaurant|sweet,food-drink,food-drink,food-sweet,,
🍩,"doughnut",0.6,breakfast|dessert|donut|doughnut|food|sweet,food-drink,food-drink,food-sweet,,
🍪,"cookie",0.6,chip|chocolate|cookie|dessert|sweet,food-drink,food-drink,food-sweet,,
🎂,"birthday cake",0.6,bday|birthday|cake|celebration|dessert|happy|pastry|sweet,food-drink,food-drink,food-sweet,,
🍰,"shortcake",0.6,cake|dessert|pastry|shortcake|slice|sweet,food-drink,food-drink,food-sweet,,
🧁,"cupcake",11.0,bakery|cupcake|dessert|sprinkles|sugar|sweet|treat,food-drink,food-drink,food-sweet,,
🥧,"pie",5.0,apple|filling|fruit|meat|pastry|pie|pumpkin|slice,food-drink,food-drink,food-sweet,,
🍫,"chocolate bar",0.6,bar|candy|chocolate|dessert|halloween|sweet|tooth,food-drink,food-drink,food-sweet,,
🍬,"candy",0.6,candy|cavities|dessert|halloween|restaurant|sweet|tooth|wrapper,food-drink,food-drink,food-sweet,,
🍭,"lollipop",0.6,candy|dessert|food|lollipop|restaurant|sweet,food-drink,food-drink,food-sweet,,
🍮,"custard",0.6,custard|dessert|pudding|sweet,food-drink,food-drink,food-sweet,,
🍯,"honey pot",0.6,barrel|bear|food|honey|honeypot|jar|pot|sweet,food-drink,food-drink,food-sweet,,
🍼,"baby bottle",1.0,babies|baby|birth|born|bottle|drink|infant|milk|newborn,food-drink,food-drink,drink,,
🥛,"glass of milk",3.0,drink|glass|milk,food-drink,food-drink,drink,,
☕,"hot beverage",0.6,beverage|cafe|caffeine|chai|coffee|drink|hot|morning|steaming|tea,food-drink,food-drink,drink,,
🫖,"teapot",13.0,brew|drink|food|pot|tea|teapot,food-drink,food-drink,drink,,
🍵,"teacup without handle",0.6,beverage|cup|drink|handle|oolong|tea|teacup,food-drink,food-drink,drink,,
🍶,"sake",0.6,bar|beverage|bottle|cup|drink|restaurant|sake,food-drink,food-drink,drink,,
🍾,"bottle with popping cork",1.0,bar|bottle|cork|drink|popping,food-drink,food-drink,drink,,
🍷,"wine glass",0.6,alcohol|bar|beverage|booze|club|drink|drinking|drinks|glass|restaurant|wine,food-drink,food-drink,drink,,
🍸,"cocktail glass",0.6,alcohol|bar|booze|club|cocktail|drink|drinking|drinks|glass|mad|martini|men,food-drink,food-drink,drink,,
🍹,"tropical drink",0.6,alcohol|bar|booze|club|cocktail|drink|drinking|drinks|drunk|mai|party|tai|tropical|tropics,food-drink,food-drink,drink,,
🍺,"beer mug",0.6,alcohol|ale|bar|beer|booze|drink|drinking|drinks|mug|octoberfest|oktoberfest|pint|stein|summer,food-drink,food-drink,drink,,
🍻,"clinking beer mugs",0.6,alcohol|bar|beer|booze|bottoms|cheers|clink|clinking|drinking|drinks|mugs,food-drink,food-drink,drink,,
🥂,"clinking glasses",3.0,celebrate|clink|clinking|drink|glass|glasses,food-drink,food-drink,drink,,
🥃,"tumbler glass",3.0,glass|liquor|scotch|shot|tumbler|whiskey|whisky,food-drink,food-drink,drink,,
🫗,"pouring liquid",14.0,accident|drink|empty|glass|liquid|oops|pour|pouring|spill|water,food-drink,food-drink,drink,,
🥤,"cup with straw",5.0,cup|drink|juice|malt|soda|soft|straw|water,food-drink,food-drink,drink,,
🧋,"bubble tea",13.0,boba|bubble|food|milk|pearl|tea,food-drink,food-drink,drink,,
🧃,"beverage box",12.0,beverage|box|juice|straw|sweet,food-drink,food-drink,drink,,
🧉,"mate",12.0,drink|mate,food-drink,food-drink,drink,,
🧊,"ice",12.0,cold|cube|ice|iceberg,food-drink,food-drink,drink,,
🥢,"chopsticks",5.0,chopsticks|hashi|jeotgarak|kuaizi,food-drink,food-drink,dishware,,
🍽️,"fork and knife with plate",0.7,cooking|dinner|eat|fork|knife|plate,food-drink,food-drink,dishware,,
🍴,"fork and knife",0.6,breakfast|breaky|cooking|cutlery|delicious|dinner|eat|feed|food|fork|hungry|knife|lunch|restaurant|yum|yummy,food-drink,food-drink,dishware,,
🥄,"spoon",3.0,eat|spoon|tableware,food-drink,food-drink,dishware,,
🔪,"kitchen knife",0.6,chef|cooking|hocho|kitchen|knife|tool|weapon,food-drink,food-drink,dishware,,
🫙,"jar",14.0,condiment|container|empty|jar|nothing|sauce|store,food-drink,food-drink,dishware,,
🏺,"amphora",1.0,amphora|Aquarius|cooking|drink|jug|tool|weapon|zodiac,food-drink,food-drink,dishware,,
🌍,"globe showing Europe-Africa",0.7,Africa|earth|Europe|Europe-Africa|globe|showing|world,travel-places,travel-places,place-map,,
🌎,"globe showing Americas",0.7,Americas|earth|globe|showing|world,travel-places,travel-places,place-map,,
🌏,"globe showing Asia-Australia",0.6,Asia|Asia-Australia|Australia|earth|globe|showing|world,travel-places,travel-places,place-map,,
🌐,"globe with meridians",1.0,earth|globe|internet|meridians|web|world|worldwide,travel-places,travel-places,place-map,,
🗺️,"world map",0.7,map|world,travel-places,travel-places,place-map,,
🗾,"map of Japan",0.6,Japan|map,travel-places,travel-places,place-map,,
🧭,"compass",11.0,compass|direction|magnetic|navigation|orienteering,travel-places,travel-places,place-map,,
🏔️,"snow-capped mountain",0.7,cold|mountain|snow|snow-capped,travel-places,travel-places,place-geographic,,
⛰️,"mountain",0.7,mountain,travel-places,travel-places,place-geographic,,
🌋,"volcano",0.6,eruption|mountain|nature|volcano,travel-places,travel-places,place-geographic,,
🗻,"mount fuji",0.6,fuji|mount|mountain|nature,travel-places,travel-places,place-geographic,,
🏕️,"camping",0.7,camping,travel-places,travel-places,place-geographic,,
🏖️,"beach with umbrella",0.7,beach|umbrella,travel-places,travel-places,place-geographic,,
🏜️,"desert",0.7,desert,travel-places,travel-places,place-geographic,,
🏝️,"desert island",0.7,desert|island,travel-places,travel-places,place-geographic,,
🏞️,"national park",0.7,national|park,travel-places,travel-places,place-geographic,,
🏟️,"stadium",0.7,stadium,travel-places,travel-places,place-building,,
🏛️,"classical building",0.7,building|classical,travel-places,travel-places,place-building,,
🏗️,"building construction",0.7,building|construction|crane,travel-places,travel-places,place-building,,
🧱,"brick",11.0,brick|bricks|clay|mortar|wall,travel-places,travel-places,place-building,,
🪨,"rock",13.0,boulder|heavy|rock|solid|stone|tough,travel-places,travel-places,place-building,,
🪵,"wood",13.0,log|lumber|timber|wood,travel-places,travel-places,place-building,,
🛖,"hut",13.0,home|house|hut|roundhouse|shelter|yurt,travel-places,travel-places,place-building,,
🏘️,"houses",0.7,house|houses,travel-places,travel-places,place-building,,
🏚️,"derelict house",0.7,derelict|home|house,travel-places,travel-places,place-building,,
🏠,"house",0.6,building|country|heart|home|house|ranch|settle|simple|suburban|suburbia|where,travel-places,travel-places,place-building,,
🏡,"house with garden",0.6,building|country|garden|heart|home|house|ranch|settle|simple|suburban|suburbia|where,travel-places,travel-places,place-building,,
🏢,"office building",0.6,building|city|cubical|job|office,travel-places,travel-places,place-building,,
🏣,"Japanese post office",0.6,building|Japanese|office|post,travel-places,travel-places,place-building,,
🏤,"post office",1.0,building|European|office|post,travel-places,travel-places,place-building,,
🏥,"hospital",0.6,building|doctor|hospital|medicine,travel-places,travel-places,place-building,,
🏦,"bank",0.6,bank|building,travel-places,travel-places,place-building,,
🏨,"hotel",0.6,building|hotel,travel-places,travel-places,place-building,,
🏩,"love hotel",0.6,building|hotel|love,travel-places,travel-places,place-building,,
🏪,"convenience store",0.6,24|building|convenience|hours|store,travel-places,travel-places,place-building,,
🏫,"school",0.6,building|school,travel-places,travel-places,place-building,,
🏬,"department store",0.6,building|department|store,travel-places,travel-places,place-building,,
🏭,"factory",0.6,building|factory,travel-places,travel-places,place-building,,
🏯,"Japanese castle",0.6,building|castle|Japanese,travel-places,travel-places,place-building,,
🏰,"castle",0.6,building|castle|European,travel-places,travel-places,place-building,,
💒,"wedding",0.6,chapel|hitched|nuptials|romance|wedding,travel-places,travel-places,place-building,,
🗼,"Tokyo tower",0.6,Tokyo|tower,travel-places,travel-places,place-building,,
🗽,"Statue of Liberty",0.6,liberty|Liberty|new|ny|nyc|statue|Statue|york,travel-places,travel-places,place-building,,
⛪,"church",0.6,bless|chapel|Christian|church|cross|religion,travel-places,travel-places,place-religious,,
🕌,"mosque",1.0,islam|masjid|mosque|Muslim|religion,travel-places,travel-places,place-religious,,
🛕,"hindu temple",12.0,hindu|temple,travel-places,travel-places,place-religious,,
🕍,"synagogue",1.0,Jew|Jewish|judaism|religion|synagogue|temple,travel-places,travel-places,place-religious,,
⛩️,"shinto shrine",0.7,religion|shinto|shrine,travel-places,travel-places,place-religious,,
🕋,"kaaba",1.0,hajj|islam|kaaba|Muslim|religion|umrah,travel-places,travel-places,place-religious,,
⛲,"fountain",0.6,fountain,travel-places,travel-places,place-other,,
⛺,"tent",0.6,camping|tent,travel-places,travel-places,place-other,,
🌁,"foggy",0.6,fog|foggy,travel-places,travel-places,place-other,,
🌃,"night with stars",0.6,night|star|stars,travel-places,travel-places,place-other,,
🏙️,"cityscape",0.7,city|cityscape,travel-places,travel-places,place-other,,
🌄,"sunrise over mountains",0.6,morning|mountains|over|sun|sunrise,travel-places,travel-places,place-other,,
🌅,"sunrise",0.6,morning|nature|sun|sunrise,travel-places,travel-places,place-other,,
🌆,"cityscape at dusk",0.6,at|building|city|cityscape|dusk|evening|landscape|sun|sunset,travel-places,travel-places,place-other,,
🌇,"sunset",0.6,building|dusk|sun|sunset,travel-places,travel-places,place-other,,
🌉,"bridge at night",0.6,at|bridge|night,travel-places,travel-places,place-other,,
♨️,"hot springs",0.6,hot|hotsprings|springs|steaming,travel-places,travel-places,place-other,,
🎠,"carousel horse",0.6,carousel|entertainment|horse,travel-places,travel-places,place-other,,
🛝,"playground slide",14.0,amusement|park|play|playground|playing|slide|sliding|theme,travel-places,travel-places,place-other,,
🎡,"ferris wheel",0.6,amusement|ferris|park|theme|wheel,travel-places,travel-places,place-other,,
🎢,"roller coaster",0.6,amusement|coaster|park|roller|theme,travel-places,travel-places,place-other,,
💈,"barber pole",0.6,barber|cut|fresh|haircut|pole|shave,travel-places,travel-places,place-other,,
🎪,"circus tent",0.6,circus|tent,travel-places,travel-places,place-other,,
🚂,"locomotive",1.0,caboose|engine|locomotive|railway|steam|train|trains|travel,travel-places,travel-places,transport-ground,,
🚃,"railway car",0.6,car|electric|railway|train|tram|travel|trolleybus,travel-places,travel-places,transport-ground,,
🚄,"high-speed train",0.6,high-speed|railway|shinkansen|speed|train,travel-places,travel-places,transport-ground,,
🚅,"bullet train",0.6,bullet|high-speed|nose|railway|shinkansen|speed|train|travel,travel-places,travel-places,transport-ground,,
🚆,"train",1.0,arrived|choo|railway|train,travel-places,travel-places,transport-ground,,
🚇,"metro",0.6,metro|subway|travel,travel-places,travel-places,transport-ground,,
🚈,"light rail",1.0,arrived|light|monorail|rail|railway,travel-places,travel-places,transport-ground,,
🚉,"station",0.6,railway|station|train,travel-places,travel-places,transport-ground,,
🚊,"tram",1.0,tram|trolleybus,travel-places,travel-places,transport-ground,,
🚝,"monorail",1.0,monorail|vehicle,travel-places,travel-places,transport-ground,,
🚞,"mountain railway",1.0,car|mountain|railway|trip,travel-places,travel-places,transport-ground,,
🚋,"tram car",1.0,bus|car|tram|trolley|trolleybus,travel-places,travel-places,transport-ground,,
🚌,"bus",0.6,bus|school|vehicle,travel-places,travel-places,transport-ground,,
🚍,"oncoming bus",0.7,bus|cars|oncoming,travel-places,travel-places,transport-ground,,
🚎,"trolleybus",1.0,bus|tram|trolley|trolleybus,travel-places,travel-places,transport-ground,,
🚐,"minibus",1.0,bus|drive|minibus|van|vehicle,travel-places,travel-places,transport-ground,,
🚑,"ambulance",0.6,ambulance|emergency|vehicle,travel-places,travel-places,transport-ground,,
🚒,"fire engine",0.6,engine|fire|truck,travel-places,travel-places,transport-ground,,
🚓,"police car",0.6,5–0|car|cops|patrol|police,travel-places,travel-places,transport-ground,,
🚔,"oncoming police car",0.7,car|oncoming|police,travel-places,travel-places,transport-ground,,
🚕,"taxi",0.6,cab|cabbie|car|drive|taxi|vehicle|yellow,travel-places,travel-places,transport-ground,,
🚖,"oncoming taxi",1.0,cab|cabbie|cars|drove|hail|oncoming|taxi|yellow,travel-places,travel-places,transport-ground,,
🚗,"automobile",0.6,automobile|car|driving|vehicle,travel-places,travel-places,transport-ground,,
🚘,"oncoming automobile",0.7,automobile|car|cars|drove|oncoming|vehicle,travel-places,travel-places,transport-ground,,
🚙,"sport utility vehicle",0.6,car|drive|recreational|sport|sportutility|utility|vehicle,travel-places,travel-places,transport-ground,,
🛻,"pickup truck",13.0,automobile|car|flatbed|pick-up|pickup|transportation|truck,travel-places,travel-places,transport-ground,,
🚚,"delivery truck",0.6,car|delivery|drive|truck|vehicle,travel-places,travel-places,transport-ground,,
🚛,"articulated lorry",1.0,articulated|car|drive|lorry|move|semi|truck|vehicle,travel-places,travel-places,transport-ground,,
